synth__sched__date__begin,synth__sched__date__end,init_design__sched__date__begin,init_design__sched__date__end,place_opt__sched__date__begin,place_opt__sched__date__end,clock_opt_cts__sched__date__begin,clock_opt_cts__sched__date__end,clock_opt_opto__sched__date__begin,clock_opt_opto__sched__date__end,route_auto__sched__date__begin,route_auto__sched__date__end,route_opt__sched__date__begin,route_opt__sched__date__end,route_opt__sched__host__id,route_opt__sched__loadavg__end,synth__timing__clk_per__set,init_design__area__util__set,init_design__area__max_layer__set,place_opt__timing__clk_trans__set,clk_opt_cts__timing__hold_uncert__set,route_opt__timing__whs__worst,route_opt__timing__tnhs__tot,route_opt__timing__nhve__tot,route_opt__timing__ntv__tot,route_opt__timing__critpath__max,route_opt__timing__clk_trans__max,route_opt__area__cell__tot,route_opt__area__util__avg,route_opt__drc__viol__tot,route_opt__area__wirelength__tot,route_opt__area__met1__wirelength__tot
1726039723,1726039844,1726039850,1726039881,1726039882,1726039961,1726039963,1726040035,1726040037,1726040111,1726040112,1726040145,1726040146,1726040181,grendel44.ece.ncsu.edu,1.74,5,0.5,met5,0.5,0.1,0.09,0.0,0,0,2.17,0.1,289.3104,0.5171,0,422,211.0
1726040518,1726040636,1726040642,1726040673,1726040674,1726040765,1726040766,1726040841,1726040843,1726040921,1726040922,1726040955,1726040956,1726040991,grendel44.ece.ncsu.edu,1.78,5,0.5,met5,0.5,0.1,0.09,0.0,0,0,2.17,0.1,289.3104,0.5171,0,422,211.0
1726041341,1726041459,1726041465,1726041497,1726041498,1726041582,1726041584,1726041659,1726041661,1726041736,1726041738,1726041772,1726041773,1726041808,grendel44.ece.ncsu.edu,1.56,5,0.5,met5,0.5,0.1,0.09,0.0,0,0,2.17,0.1,289.3104,0.5171,0,421,211.0
1726042076,1726042199,1726042205,1726042234,1726042235,1726042314,1726042316,1726042391,1726042392,1726042471,1726042472,1726042505,1726042506,1726042540,grendel44.ece.ncsu.edu,1.14,5,0.5,met5,0.5,0.1,0.09,0.0,0,0,2.17,0.1,289.3104,0.5171,0,422,211.0
1726090455,1726090597,1726090599,1726090635,1726090637,1726090760,1726090762,1726090847,1726090848,1726090952,1726090954,1726091007,1726091008,1726091073,grendel46.ece.ncsu.edu,2.35,25,0.4,met5,0.5,0.2,0.04,0.0,0,0,0.53,0.1,51132.816,0.4505,0,342679,104156.0
1726091968,1726092107,1726092110,1726092150,1726092151,1726092284,1726092286,1726092369,1726092370,1726092474,1726092476,1726092532,1726092533,1726092601,grendel46.ece.ncsu.edu,2.4,10,0.4,met5,0.5,0.2,0.02,0.0,0,0,0.64,0.16,50833.9152,0.4479,0,347520,101662.0
1726093006,1726093152,1726093155,1726093188,1726093190,1726093311,1726093312,1726093397,1726093398,1726093498,1726093499,1726093558,1726093559,1726093628,grendel46.ece.ncsu.edu,3.62,5,0.4,met5,0.5,0.2,0.02,0.0,0,0,0.6,0.17,51868.08,0.4394,0,371989,110961.0
1726094714,1726094863,1726094866,1726094904,1726094905,1726095023,1726095024,1726095107,1726095108,1726095217,1726095218,1726095284,1726095285,1726095372,grendel46.ece.ncsu.edu,4.0,5,0.5,met5,0.5,0.2,0.02,0.0,0,0,0.57,0.19,52111.0368,0.5528,0,338636,100500.0
1726095656,1726095803,1726095805,1726095835,1726095836,1726095953,1726095954,1726096040,1726096041,1726096153,1726096154,1726096286,1726096287,1726096397,grendel46.ece.ncsu.edu,3.55,5,0.6,met5,0.5,0.2,0.0,0.0,0,0,0.55,0.15,50752.3968,0.6462,1,300408,89050.0
1726096399,1726096549,1726096552,1726096593,1726096594,1726096714,1726096715,1726096803,1726096805,1726096915,1726096917,1726097544,1726097545,1726097834,grendel46.ece.ncsu.edu,1.84,5,0.7,met5,0.5,0.2,0.03,0.0,0,1,0.55,0.09,50351.1984,0.7451,300,274388,79219.0
1726099399,1726099567,1726099573,1726099608,1726099610,1726099727,1726099729,1726099817,1726099819,1726099935,1726099936,1726100014,1726100015,1726100104,grendel43.ece.ncsu.edu,3.65,5,0.55,met5,0.5,0.2,0.02,0.0,0,1,0.65,0.18,51236.712,0.5952,0,329465,95534.0
1726100107,1726100275,1726100280,1726100313,1726100314,1726100433,1726100435,1726100521,1726100523,1726100648,1726100649,1726100900,1726100901,1726101074,grendel43.ece.ncsu.edu,6.03,5,0.65,met5,0.5,0.2,0.03,0.0,0,2,0.52,0.09,50485.46400000001,0.6926,32,290172,85042.0
1726101077,1726101237,1726101242,1726101280,1726101282,1726101395,1726101396,1726101486,1726101487,1726101603,1726101605,1726102265,1726102266,1726102814,grendel43.ece.ncsu.edu,4.29,5,0.75,met5,0.5,0.2,0.0,0.0,0,2,0.59,0.15,49825.3248,0.7932,1730,262336,76604.0
1726103065,1726103235,1726103240,1726103274,1726103275,1726103396,1726103397,1726103483,1726103484,1726103601,1726103603,1726103674,1726103675,1726103755,grendel43.ece.ncsu.edu,4.54,5,0.5,met5,0.5,0.1,0.1,0.0,0,2,0.56,0.19,51952.7952,0.5512,0,338180,100323.0
1726103758,1726103930,1726103935,1726103970,1726103971,1726104095,1726104096,1726104187,1726104188,1726104308,1726104310,1726104380,1726104381,1726104471,grendel43.ece.ncsu.edu,5.06,5,0.52,met5,0.5,0.1,0.01,0.0,0,1,0.68,0.17,51030.5184,0.564,0,336549,98867.0
1726104474,1726104642,1726104647,1726104682,1726104684,1726104808,1726104810,1726104900,1726104902,1726105015,1726105016,1726105092,1726105093,1726105186,grendel43.ece.ncsu.edu,4.14,5,0.55,met5,0.5,0.1,0.1,0.0,0,0,0.65,0.18,51319.8288,0.5962,0,328845,95382.0
1726105189,1726105370,1726105376,1726105411,1726105412,1726105535,1726105536,1726105626,1726105628,1726105746,1726105747,1726105837,1726105838,1726105939,grendel43.ece.ncsu.edu,3.46,5,0.58,met5,0.5,0.1,0.1,0.0,0,1,0.57,0.18,51003.3456,0.6299,0,315717,91174.0
