(c) 2021 L. Francisco, W. R. Davis, and P. D. Franzon, NC State University
Sample#,Tclk,MaxTran,Uncertainty,Fanout,Area,Cpath
0,15643.4309,311.4626207,96.33050849,40,4328.45235,3672.17554
1,8202.260715,184.4893794,37.15254238,41,4150.594267,3514.2142860000004
2,6896.794465000001,297.996138,82.20508476,22,4214.284904,3264.9783940000007
3,597.9110706,352.8253793,94.92711866,43,6455.349429,1958.9217846000001
4,9279.272323000001,213.34731040000003,23.60508475,30,4296.342755,3500.4901800000007
5,6276.695536,122.9252414,29.32372882,7,4391.614422,2916.2401790000004
6,13489.407680000002,142.1649656,0.455932203,37,4340.4769289999995,3465.313040000001
7,14990.696069999998,103.6871725,36.03898306,27,4354.879997999999,3423.6657099999993
8,4351.130357,214.3089656,72.00338984,41,4603.696282,2120.191071
9,16263.526430000002,302.806069,96.07966103,17,4352.237233,3635.312140000002
10,6374.606608,332.6256552,1.622033899,17,4242.166071,2920.711965
11,989.5519636,102.72551729999999,5.540677967000001,9,6992.755643,1741.3751779
12,9181.361251,495.19006900000005,94.45254239,9,4235.162743,3790.1112510000003
13,15610.79161,249.900138,74.44576272,46,4325.809585,3640.384469999999
14,14566.41929,499.0383448,32.13728814,23,4339.81624,3584.38536
15,8757.084466,120.04027590000001,31.2,21,4161.82602,3476.4416090000004
16,4024.764643,51.74289663,14.94576271,12,4906.424984,1947.250357
17,2980.3889280000003,54.62951732,2.815254238,37,5005.000103,1892.197857
18,6929.430358,144.0882759,41.32881357,45,4221.420365999999,3154.0285719999997
19,7875.895001000001,123.88855179999999,4.052542374,36,4163.94023,3501.8914300000006
20,15708.70268,426.8943448,93.15254239,49,4324.223926,3657.8508899999997
21,13195.67786,419.1977931,9.896610171,26,4331.887945,3462.5546460000005
22,3372.029821,176.79282759999998,50.08644069,23,4721.299317,2029.95125
23,7157.888394,35.39144835,8.181355932999999,18,4411.831563000001,3060.7080369999994
24,11955.4834,464.40882760000005,178.2169492,36,4329.24518,3838.717329
25,7418.982322,351.86372420000004,92.3762712,18,4203.317427,3398.616251
26,5819.782858,339.3588966,59.55762713,7,4422.40263,2769.7060719999995
27,891.6408921,104.6488277,20.85084746,24,6732.839731,1764.0123207000001
28,15871.885540000001,159.4797242,49.43728814,25,4344.308938,3593.0337500000005
29,3828.9425,181.60275869999998,10.52881356,29,4659.855036,1955.169286
30,16328.801609999999,395.1497931,158.5135593,44,4323.431098,3734.4480399999975
31,5101.77625,466.33213789999996,50.91525425,31,4440.241285,2451.1066069999997
32,14142.1425,86.37241386,33.21694916,33,4375.229284,3540.2782099999986
33,10291.01214,218.15558629999998,16.03898305,27,4342.591143,3541.1603540000006
34,13978.95625,409.5795862,77.34237289,26,4332.680775,3722.790179999998
35,3861.5817859999997,263.3666207,55.47288136,43,4637.920089,2052.4085719999994
36,1381.189464,439.39917239999994,60.476271200000006,8,6842.250197,1901.9251783
37,9116.089466,43.08634489999999,4.652542373999999,47,4328.980888,3205.562679999999
38,6472.517679,456.71393099999995,182.3101695,9,4285.903829999999,3182.5319649999997
39,11890.20822,487.49517239999994,187.9372882,23,4336.909197999999,3890.1903630000015
40,7255.796072,48.85793111,16.88474577,35,4323.166805,3192.578215
41,8169.624823,227.7754483,23.75423729,47,4143.5909409999995,3471.739109
42,8332.80768,470.18041380000005,180.8322034,30,4148.347919,3919.005894
43,3241.482857,156.59310349999998,36.45593221,19,4716.806616,2008.3489280000001
44,12608.214820000001,53.66786214,9.150847459,46,4420.024145,3374.384463000002
45,12053.39107,324.9291035,106.61016950000001,25,4333.73788,3642.939284
46,3633.12375,412.4645517,66.81186442,7,4745.612753,2061.8237500000005
47,8528.629823000001,295.1095173,94.08813561,32,4145.573015999999,3834.238752000001
48,4514.313214,97.91558628,18.92033899,48,4674.125967,2171.307857
49,11694.38947,57.51448283,15.13389831,44,4408.924534000001,3446.964470000001
50,1544.375714,197.9558621,18.04237288,12,6724.515037,1806.8471426
51,9050.814287000001,414.3895173,156.85423730000002,11,4197.239068,3908.1589300000014
52,6309.331429,452.8656552,147.9305085,13,4269.782964,3100.1974999999998
53,15382.336969999998,453.82731039999993,163.0355932,29,4330.434424,3846.5887599999987
54,1707.558571,467.29379309999996,4.569491526,43,6718.172374,1672.408571
55,3404.665714,134.4684139,45.06271187,22,4720.902904,2023.3996430000002
56,15578.155719999999,135.430069,50.05254238,25,4347.744533,3599.741429999998
57,9409.819287,37.314758700000006,3.920338984,11,4581.893486999999,3364.4264300000004
58,16198.25465,359.5586207,28.06271187,44,4324.884617000001,3548.970720000001
59,3176.211071,140.2400001,13.13728814,23,4715.485232999999,2008.3896420000003
60,13750.50161,172.94620700000002,49.66949153,11,4407.735295,3612.0337500000005
61,7908.5308939999995,208.5373794,81.81694917,42,4141.476728000001,3595.5648229999997
62,15317.06179,392.2648276,123.51525430000001,44,4324.223926,3729.843930000001
63,16785.71429,205.65075869999998,30.54067797,38,4333.341464,3538.77858
64,4938.59,90.22068973,19.87288136,42,4617.174383,2357.066786
65,12445.03197,209.4990345,26.72372882,10,4412.4922719999995,3496.9141130000007
66,16361.4375,114.26868970000001,22.10508475,35,4353.822892,3514.485709999999
67,13619.95465,189.2993104,48.96949153,11,4405.621083,3639.8653639999993
68,2099.1994640000003,458.6372414,7.100000001000001,48,5610.061117,1809.0762497000003
69,5721.871786,237.39531040000003,36.87118645,21,4326.470265,2733.850357
70,7777.983929999999,96.9539311,15.96440678,14,4225.384513,3344.707143999999
71,4449.041429,193.1459311,30.05254238,22,4627.481166,2138.030715
72,6048.240893,84.44910352,32.91186441,48,4370.075885,2872.3230360000002
73,6798.8833939999995,171.98455180000002,35.00000001,17,4248.5087060000005,3069.6244649999994
74,1022.187856,207.5757242,18.43050848,7,7251.085916,1776.6914274
75,1218.0066060000001,82.52579317,19.21355933,32,6734.425381999999,1827.3976774000002
76,15121.243040000001,369.17848280000004,86.46101696,27,4332.152222,3662.818040000002
77,9834.096073,41.16303456,1.76440678,20,4513.974432,3305.1532160000006
78,8495.990537,496.1517241,53.38644069,8,4261.193976,3557.1780369999997
79,4644.860179,58.47613801,20.91355933,41,4767.547699000001,2223.0726790000003
80,10552.10268,347.0537931,109.9983051,43,4328.188072999999,3700.9062509999994
81,13946.32036,131.58344830000001,23.45423729,11,4414.738622,3488.0417899999993
82,13881.048569999999,497.1150345,69.6983051,32,4333.341466,3646.1896399999987
83,6831.519287,322.044138,26.41355933,15,4239.787583,3187.5228580000003
84,10486.830890000001,76.75420697,26.41525424,32,4374.9650090000005,3439.7987470000007
85,11824.93643,423.04606900000005,70.95254238,9,4407.6031570000005,3636.9542869999987
86,7353.707144,191.2226207,7.552542374,44,4185.08235,3244.855358
87,14860.14911,310.50096560000003,83.93050849,38,4326.734552,3673.5598200000004
88,9768.824287000001,61.36275870000001,5.752542374,18,4406.678186,3450.8153580000017
89,1609.647499,271.0615173,101.0491526,24,6806.440745999999,1993.8207133
90,12314.485,141.2016552,31.20847458,50,4343.383971,3486.949286000001
91,11727.02536,346.092138,58.78305086,49,4325.281032,3622.745003
92,12020.75518,230.662069,33.57118645,35,4332.020082,3550.9283940000005
93,6700.972322,482.6852414,83.39661018,16,4229.480801,3180.3741079999995
94,4187.9475,468.2571035,167.8762712,39,4625.763371,2264.943929
95,6080.876786,363.4068966,109.9152543,49,4270.972206,2928.233929
96,728.4580348999999,308.5776552,26.29830509,31,6733.896829,1815.0205348999998
97,15969.79661,115.2303449,26.97627119,11,4423.988297999999,3572.3644699999986
98,5754.507679,151.7831725,3.408474577,33,4323.166809,2690.4862500000004
99,13424.1325,192.18427590000002,22.92881356,5,4641.752117,3480.9235709999994
100,6244.059644,282.6046897,101.51186440000001,23,4243.091037,3032.92393
101,9540.366252,293.18620689999995,44.23728814,41,4327.9237969999995,3603.035895
102,15153.87893,261.44331040000003,64.37966103,36,4332.020082,3676.318220000001
103,8985.542501,260.4816552,60.34237289,24,4149.669302,3713.9246439999997
104,3894.217679,427.856,143.5305085,19,4663.026353,2204.540893
105,761.0939278,91.1823449,26.57457628,30,6820.711652,1778.6457138
106,12640.85411,349.94041380000004,11.37627119,39,4333.209326,3536.868396
107,2751.930893,32.50482767,5.700000001,4,5707.579126,1886.1755359
108,13097.766790000001,323.9674483,28.67796611,26,4333.473604,3499.0685760000015
109,14011.59554,492.30510350000003,87.87966103,12,4382.496891,3695.1723300000012
110,3535.2126789999998,431.70262069999995,114.24915259999999,17,4725.924156,2150.7233929999998
111,8789.723751000001,164.2880001,1.8491525430000002,13,4203.185289,3396.3362510000015
112,10029.91822,304.7293793,58.85932204,6,4535.777247999999,3578.6717909999998
