(c) 2021 L. Francisco, W. R. Davis, and P. D. Franzon, NC State University
Sample#,Tclk,MaxTran,Uncertainty,Fanout,Area,Cpath
0,3717.43625,396.1114483,25.14067797,12,25646.57916,3010.3308929000004
1,4802.604286,258.5566897,9.63220339,26,24476.36294,3517.6953569999996
2,7429.859820999999,270.09986210000005,29.33050847,27,23518.75714,4486.081249999999
3,6668.336429,24.80993103,5.189830508,19,25744.49364,4097.195358
4,7886.7725,389.37820689999995,112.1440678,39,23232.1493,4783.801071
5,6516.031071,298.95779310000006,33.23220339,21,23443.04193,4163.118571000001
6,6953.906429000001,179.6794483,6.36440678,40,23648.51689,4297.401072000001
7,6154.308393,292.2245517,21.57118644,10,24283.83756,3995.772679
8,1470.940714,378.79834480000005,53.30169492,36,35147.5828,2987.5817850000003
9,1204.408036,413.42620689999995,123.5067797,17,35037.907999999996,3133.858036
10,8971.943929000001,265.289931,80.81525424,19,23230.03509,5142.697500000001
11,500.0,74.82924138,25.7220339,8,37554.877210000006,2951.2375
12,8229.457857,125.8118621,1.706779661,45,23872.09477,4693.2525
13,8039.077856999999,482.6852414,184.1033898,29,23209.02511,4890.2689279999995
14,4897.794286,429.7793103,23.44745763,20,24360.081290000002,3554.3925000000004
15,5564.127679,59.43944828,0.827118644,5,24964.87804,3809.952679
16,6915.831786,317.23420689999995,80.36271186,31,23479.11567,4339.397857
17,975.9533928999999,30.58151724,5.76779661,11,48673.78128,2915.7516069000003
18,9581.161964,256.6333793,77.31186441,23,22733.856,5320.479821000001
19,576.1526786000001,478.8369655,141.6508475,16,36014.14531,3188.0419646
20,1509.01875,170.05958619999998,11.0779661,47,35392.30281,2904.534821
21,557.1153571000001,441.3224828,39.1779661,13,36240.63023,2980.5653571
22,652.3053571,458.6372414,90.79491525,35,36677.34714,3073.4482141
23,6934.8691069999995,336.47227589999994,69.43389831,50,23281.436859999998,4388.088749999999
24,1623.246071,247.01351719999997,46.98305085,16,34549.26083,3008.481785
25,2441.884821,440.36082760000005,163.1813559,36,33635.7892,3191.9776781
26,5640.280357,135.430069,13.86779661,35,24314.89001,3819.5374999999995
27,6820.641786,331.664,60.61864407,14,23756.60597,4258.5596430000005
28,5373.747679,338.3972414,36.29322034,9,24717.38309,3737.5423220000002
29,3983.968929,347.0537931,113.1016949,19,25185.94525,3225.6992861
30,8895.79125,134.4684138,19.03559322,7,24662.81001,5018.12875
31,4707.414286,361.4835862,57.89661017,42,24595.28734,3508.514286
32,7867.735179,365.33020689999995,142.88135590000002,38,23249.98796,4720.690536
33,4421.844286,433.6275862,155.7220339,21,24610.615380000003,3483.3460717
34,3869.738214,154.6697931,24.32881356,24,24914.92973,3075.1989283
35,9105.211964,349.94041380000004,0.284745763,34,22955.98038,5053.020893
36,8438.878571,40.19972414,12.18813559,4,24467.77399,4846.283927999999
37,6230.461071,449.98068969999997,156.51016950000002,18,24057.48474,4196.680714
38,2061.121429,299.9194483,29.44576271,22,34461.91742,2922.9071433
39,7258.517143000001,333.5873103,78.31694915,20,23481.89057,4458.731429000001
40,5069.136964,188.33599999999998,47.2,12,24780.80945,3648.03875
41,7563.1278569999995,39.23806897,8.754237287999999,49,23919.26815,4403.36
42,5392.785,232.5853793,57.55423729,36,23852.67046,3767.9796429999997
43,7030.059106999999,163.32634480000002,9.316949153,27,23893.89759,4381.119820999999
44,6896.794464,374.950069,10.67288136,42,23338.25631,4267.940892999999
45,1014.0280359999999,58.47613793,6.955932203,40,38602.07264,2877.3512499999997
46,1489.981429,348.9787586,3.9711864410000004,21,35861.12929,2893.402858
47,5697.395714,113.3070345,27.86440678,5,25280.15984,3835.9725
48,614.2273213999999,300.8811034,29.78644068,27,35230.16914,2939.1487503999997
49,2194.389464,384.569931,143.2830508,37,34024.804189999995,3185.0698211
50,3051.102857,484.6085517,177.3372881,32,30522.348039999997,3209.0064284
51,1528.0560710000002,395.1497931,11.57457627,19,35288.57423,2944.065
52,8343.688570999999,52.706206900000005,10.99830508,39,23578.35148,4825.668927999999
53,2651.302143,486.5335172,11.10338983,11,31419.43454,2884.6289287
54,9866.731964,345.13048280000004,136.3084746,22,22683.64347,5564.181964
55,937.8753571000001,220.0805517,49.07966102,13,36627.26678,3041.2432141000004
56,9619.24,254.710069,60.01864407,11,23168.590809999998,5398.016786
57,8876.753929,152.74482759999998,57.10847458,30,23629.62111,5062.300358
58,4878.756964,387.4548966,54.21694915,42,24317.268509999998,3574.101607
59,1604.20875,444.2091034,112.1576271,17,35784.2248,3103.7498210000003
60,2518.0375,70.01931034,19.67288136,26,33352.61686,2907.7410714
61,3450.9001789999998,229.69875860000002,27.67288136,46,27368.34042,2911.8769647
62,1680.3614289999998,343.2071724,66.93389831,50,34822.91915,3015.2132149999998
63,3279.5575,309.5393103,3.0152542369999997,8,28510.543339999997,2861.6932143
64,9466.934643,245.09020690000003,68.63050847,38,22880.66158,5296.773929000001
65,4459.9189289999995,26.73324138,7.8745762710000005,23,28206.09686,3341.2939289999995
66,8781.563929,312.42427589999994,37.28305085,6,24367.61319,4970.944286
67,9086.17125,186.4126897,47.75932203,9,23906.71501,5130.235535999999
68,3013.024821,242.20358619999996,39.19661017,34,29991.68085,2947.237321
69,8286.573214,214.30896549999997,73.73389831,34,23124.45664,4766.2125
70,3774.548214,38.27641379,2.772881356,42,32965.45175,3008.8821426
