(c) 2021 L. Francisco, W. R. Davis, and P. D. Franzon, NC State University
Sample#,Tclk,MaxTran,Uncertainty,Fanout,Area,Cpath
0,1794.58875,180.6411034,34.32542373,33,19230.87102,2870.192321
1,2822.644821,31.54317241,7.26440678,12,22259.08283,2811.88946386
2,861.7226786,369.17848280000004,76.25254237,26,19923.93608,2961.3583926
3,3089.1775,446.13241380000005,174.4220339,11,16960.8682,3146.38107143
4,1946.894107,213.3473103,28.2559322,30,18985.09391,2887.9369641000003
5,9333.666607,373.98841380000005,79.99322034,12,12262.693159999999,5150.477320999999
6,6573.146429,68.096,5.147457627,13,12660.69353,4279.948215
7,5031.062321,378.79834480000005,66.85932203,7,13686.350540000001,3609.7944640000005
8,8001.003214,329.7390345,21.96271186,31,12122.626629999999,4881.6103570000005
9,4916.835,95.99227586,21.4220339,26,13373.57934,3539.301071
10,3850.700893,487.49517239999994,72.31355932,13,13709.474730000002,3111.9401787
11,1090.180714,425.93268969999997,85.65932203,15,19742.77452,2997.509285
12,5583.165,194.1075862,50.39491525,22,13121.1953,3790.311429
13,8553.105893,225.85213790000003,55.86271186,27,12215.51981,5060.227322
14,8305.610536,259.5183448,52.33898305,21,12161.07885,5027.126607
15,5107.215,155.6314483,0.749152542,41,13285.83954,3587.486429
16,2004.009464,255.6717241,0.8288135590000001,37,18618.14603,2800.0416069
17,1908.8160710000002,64.24772414,24.75423729,32,19953.93141,2860.3089281000002
18,6040.0810710000005,322.04413789999995,44.98135593,38,12747.11195,4046.0310710000003
19,5678.3583929999995,267.2148966,86.60508475,44,12843.705,3923.0298219999995
20,3374.750893,283.5663448,31.73050847,45,15726.036380000001,2870.0973215999998
21,1661.3241070000001,115.23034479999998,29.72881356,22,19720.17891,2876.30625
22,6782.56375,204.6891034,17.01525424,19,12442.26902,4156.729821000001
23,5050.099643,437.4742069,0.35593220299999995,47,13232.85211,3528.8103569999994
24,2498.996786,105.6104828,33.29322034,24,17710.09203,2871.4307146
25,8876.753929,332.6256552,70.79322034,10,12401.30617,5170.532500000001
26,6858.716429000001,372.0634483,127.38474579999999,17,12357.30414,4437.573572000001
27,1185.3707140000001,254.710069,68.06101695,31,20363.16359,2954.6439280000004
28,2841.682143,440.36082760000005,12.55254237,17,16577.79946,2824.27678586
29,9390.781964,392.2648276,61.27796609999999,30,12124.74084,5057.017678
30,880.76,315.3108966,96.76440678,40,19951.420769999997,2990.777857
31,8534.068571,295.10951719999997,70.86610169,18,12183.27808,5071.793571
32,6154.308393,34.42813793,0.8389830509999999,19,13297.335579999999,4037.6405360000003
33,9143.286607,338.3972414,122.0745763,35,12127.3836,5161.259821
34,9485.971964,177.7561379,29.04576271,7,12621.712759999999,4974.930893000001
35,3983.968929,173.90786210000002,64.22372881,11,13743.16998,3157.5367861000004
36,3355.7101789999997,76.7542069,8.123728814,23,15416.96501,2822.0816075999996
37,8857.716606999998,491.3434483,83.30169492,28,12179.44607,5181.555892999999
38,9352.703929000001,363.4068966,147.14576269999998,6,12654.08662,5393.171786000001
39,9581.161964,83.48744828,12.67966102,20,12331.9336,5009.456607000001
40,9238.476606999999,60.40110345,16.96949153,14,12374.0857,4977.048035999998
41,1033.065357,424.96937930000007,133.5576271,33,19880.99112,3065.793928
42,5602.205714,454.7889655,101.88305079999999,38,12846.61204,3893.630714
43,4364.728929,171.9845517,44.13050847,35,13687.0112,3284.273572
44,5145.289643,121.001931,45.54576271,47,13537.29861,3630.514643
45,1604.20875,185.4510345,46.31355932,42,19462.64142,2913.512321
46,3032.065536,141.2016552,26.57288136,39,16103.55532,2860.9976789
47,4574.149643,317.23420689999995,96.84745763,25,13412.03155,3454.947857
48,3679.358214,74.82924138,25.66440678,43,14095.846930000002,2980.0903568999997
49,8058.115179,231.6237241,37.27288136,30,12180.37103,4942.691965
50,6021.04375,449.98068969999997,136.71864409999998,31,12795.21027,4066.41875
51,3964.928214,301.84441380000004,57.07118644,20,13430.663040000001,3141.6853569
52,3450.9001789999998,131.58344830000001,7.993220339,41,14381.26551,2848.0573219
53,3565.130893,496.1517241,20.62542373,29,13827.60631,2928.4273216
54,2384.769464,482.6852414,127.0627119,20,18450.46257,3064.494464
55,2479.959464,92.14399999999999,21.40508475,11,18194.77508,2851.3755354
56,8610.22125,389.37820689999995,102.9576271,26,12138.21894,5112.660536
57,3222.4455359999997,340.3205517,36.22372881,31,15681.770069999999,2880.2419646
58,9885.772679000002,245.09020690000003,72.59661017,6,12747.904779999999,5123.999465000002
59,1166.333393,137.3550345,40.77966102,46,20534.54685,2915.0798219999997
60,8914.828571,143.1266207,43.79830508,36,12168.214320000001,5013.144642
61,5259.520357,423.04606900000005,69.57457627,16,13244.74455,3725.3721430000005
62,6592.18375,399.9597241,95.03898305,23,12484.94968,4318.7319640000005
63,2232.4641070000002,483.6468966,49.66610169,22,18530.80262,2913.8176784
64,4250.501607,416.3128276,139.6271186,24,13380.18623,3359.9105356
65,8933.869286,248.93848280000003,29.01694915,18,12178.653240000001,5123.521072
66,8438.878571,435.5508966,42.56271186,48,12138.483209999999,4994.144641999999
67,1851.704107,384.569931,106.3661017,8,19940.45336,3023.325536
68,6554.109107,427.856,53.64915254,19,12471.33944,4293.923393
69,7544.087143000001,275.8714483,95.03728814,15,12235.73696,4768.4585720000005
70,6135.271071,93.10565517,27.08305085,8,13673.00458,4129.888928
71,9657.314643000002,394.18813789999996,153.6338983,32,12104.65582,5328.8092860000015
72,5088.177679,118.1169655,43.67457627,29,13260.99756,3621.241965
73,5621.243036,99.83889655,37.02881356,9,14034.9312,3821.298393
74,2993.9875,450.9423448,51.05762712,4,17172.950090000002,2909.57321429
75,2213.426786,27.69489655,3.9406779660000004,5,26074.83876,2805.3446431
76,5297.595,490.38013789999997,17.58644068,31,12927.21637,3646.3253570000006
77,7924.850536,160.4413793,22.81016949,15,12251.857820000001,4853.670179
78,1547.0933929999999,182.5644138,69.10338983,32,19196.911490000002,2970.4308929999997
79,1566.1307140000001,69.05765517,25.90508475,50,20399.23728,2870.4807140000003
80,4631.261607,297.99613789999995,41.82711864,37,13604.424809999999,3422.4544640000004
81,6344.688393,206.6124138,53.03220339,43,12707.47047,4099.600893000001
82,3165.330179,167.1746207,55.77457627,12,15511.972430000002,2921.2141076
83,8362.725893,82.5257931,20.77118644,40,12287.27087,4750.961607000001
84,7620.239820999999,20.96165517,5.420338983,26,13284.386040000001,4718.464821
85,4098.19625,348.9787586,101.5389831,28,13514.306530000002,3243.67125
86,5354.710357,375.9117241,70.32033898,41,12977.29676,3724.408571
87,747.4953571000001,249.90013790000003,29.33389831,36,20764.33524,2889.4400001
88,7163.327143,244.1285517,50.77288136,38,12211.68781,4548.2825
89,6649.299107,200.84248280000003,22.03559322,19,12366.1574,4248.072321
90,6002.003036,161.4030345,58.08644068,6,13518.9314,4052.399465
91,6477.956429,418.23613789999996,96.69661017,7,12977.4289,4305.6796429999995
92,2670.339464,412.4645517,123.8881356,42,17446.87265,3053.5966069
93,9505.009286,351.8637241,36.3220339,13,12246.175879999999,5076.075357000001
94,4821.6416070000005,63.28606897,14.39152542,16,14767.373430000001,3484.3130360000005
95,8343.688570999999,202.7657931,62.66271186,37,12132.40485,5041.318927999999
96,2042.0841070000001,479.8002759,106.3559322,5,19912.175769999998,3024.8930356
97,5183.367679,481.7235862,36.90338983,45,13186.471590000001,3643.451608
98,8895.79125,447.09406900000005,36.78135593,32,12147.46861,5061.930536
99,9543.087320999999,123.8885517,37.07288136,33,12114.83047,5016.914106999999
100,5545.090357,71.94427586,16.69830508,32,13937.281030000002,3808.2189280000002
101,9257.513929,246.0518621,61.53389831,33,12158.30395,5129.797858000001
102,500.0,214.30896549999997,7.962711864,42,20643.03228,2840.901786
103,9314.629286,270.09986210000005,1.969491525,35,12108.75211,4982.866786
104,7582.1651790000005,227.7754483,77.33898305,45,12153.15056,4811.761608000001
105,7125.249107,405.7313103,27.73728814,16,12241.68318,4535.447321
106,7068.137143000001,288.37627589999994,53.55932203,18,12336.69057,4580.969286000001
107,6915.831786,163.32634480000002,63.255932200000004,48,12463.278999999999,4498.624642999999
108,4973.946964,73.86758621,4.33559322,7,13857.46957,3573.4433929999996
109,4612.224286,78.67751724,10.18983051,44,14256.92342,3382.076072
110,5792.585714,465.3704828,61.80508475,26,12880.57157,3898.4214279999997
111,3127.255536,422.08441380000005,18.555932199999997,12,16061.6675,2850.3644646000002
112,1965.931429,371.1017931,37.12033898,44,18790.05786,2886.3457147
113,7658.317856999999,176.79282759999998,56.34745763,5,12938.97668,4812.796428
114,3184.3675,287.4146207,26.57288136,39,15420.929180000001,2851.5282143
115,3013.024821,208.5373793,65.99152542,42,16187.463109999999,2950.66410671
116,3146.292857,495.19006900000005,191.3288136,28,16790.409880000003,3189.17857129
117,2460.922143,298.95779310000006,12.12881356,8,17700.3138,2831.7614286999997
118,3469.940893,260.4816552,74.9,41,15246.638840000001,2958.1623216
119,9600.199286,104.64882759999999,13.955932199999998,13,12364.968159999999,5036.534999999999
120,6097.193036,325.89241380000004,115.4,10,13015.0883,4141.550179
121,1528.0560710000002,417.27448280000004,109.040678,48,19179.46925,3030.2096420000003
122,7315.6325,272.98648280000003,66.15423729,22,12225.03376,4684.098571
123,994.9907142999999,224.89048280000003,70.34576271,11,20199.70852,2946.9353573
124,2023.0467859999999,411.5028966,147.0440678,13,19501.88654,3133.766429
125,709.4173214,296.0728276,103.5271186,39,19797.47975,3028.4351784
126,8248.498571,286.4529655,40.88644068,47,12164.77872,4932.32
127,6801.604464,285.4913103,77.78983051,50,12349.64012,4391.352678
128,8591.183929,309.5393103,6.53220339,24,12122.626620000001,5017.419643000001
129,2746.492143,80.60082759,6.206779661000001,9,17998.549759999998,2828.1921429999998
130,9676.351964,486.5335172,150.6847458,37,12070.56416,5230.69125
131,7011.021786,324.9291034,119.80508470000001,8,12554.71867,4521.445
132,5221.442321,472.1037241,120.7949153,7,13627.020480000001,3759.9351780000006
133,2118.236786,293.18620689999995,93.46779661,35,18893.12568,2987.2153574
134,1375.750714,359.5586207,28.93898305,16,19435.156730000002,2872.7132140000003
135,7753.507857,29.61986207,10.72033898,30,12921.66657,4784.452499999999
136,9961.925357,474.0286897,91.54745763,35,12098.84174,5132.430714
137,6325.651071,265.289931,34.17457627,46,12645.62978,4064.277857
138,6192.386429,207.5757241,14.5779661,44,12720.94857,3992.559643
139,2518.0375,415.3511724,149.10677969999998,8,18560.798,3095.9428571
140,9124.249286,410.5412414,135.0016949,49,12128.70498,5254.763572
141,3584.1682140000003,406.69296549999996,24.49491525,16,13868.83344,2944.4110711000003
142,2061.121429,400.9213793,92.33389831,44,18800.10038,2995.6160719
143,8515.03125,30.58151724,1.759322034,24,12829.03766,4966.102679
144,3641.283571,357.6353103,59.89152542,36,13823.377869999998,3003.3246424
145,6630.261786,344.1688276,19.5779661,39,12270.75359,4163.7225
146,1870.741429,316.2725517,8.730508475,36,18944.79174,2842.4217860999997
147,4155.311607,284.5296552,82.36949153,43,13540.60204,3242.3276783999995
