synth__sched__date__begin,synth__sched__date__end,init_design__sched__date__begin,init_design__sched__date__end,place_opt__sched__date__begin,place_opt__sched__date__end,clock_opt_cts__sched__date__begin,clock_opt_cts__sched__date__end,clock_opt_opto__sched__date__begin,clock_opt_opto__sched__date__end,route_auto__sched__date__begin,route_auto__sched__date__end,route_opt__sched__date__begin,route_opt__sched__date__end,route_opt__sched__host__id,route_opt__sched__loadavg__end,synth__timing__clk_per__set,init_design__area__util__set,init_design__area__max_layer__set,place_opt__timing__clk_trans__set,clk_opt_cts__timing__hold_uncert__set,route_opt__timing__whs__worst,route_opt__timing__tnhs__tot,route_opt__timing__nhve__tot,route_opt__timing__ntv__tot,route_opt__timing__critpath__max,route_opt__timing__clk_trans__max,route_opt__area__cell__tot,route_opt__area__util__avg,route_opt__drc__viol__tot,route_opt__area__wirelength__tot
1727634543,1727634939,1727634940,1727635014,1727635016,1727635328,1727635330,1727635490,1727635492,1727635729,1727635731,1727635844,1727635846,1727636023,grendel44.ece.ncsu.edu,3.44,30,0.5,met5,0.5,0.2,-0.00,-0.00,2,0,29.63,0.21,300854.0448,0.5291,0,1677744
1727637531,1727637942,1727637948,1727638019,1727638021,1727638350,1727638352,1727638517,1727638518,1727638768,1727638770,1727638887,1727638889,1727639093,grendel44.ece.ncsu.edu,4.09,30,0.5,met5,0.5,0.25,-0.00,-0.00,3,1,29.63,0.20,318505.1760,0.5602,1,1686691
1727639863,1727640261,1727640267,1727640348,1727640350,1727640674,1727640676,1727640842,1727640844,1727641081,1727641084,1727641195,1727641197,1727641372,grendel44.ece.ncsu.edu,3.16,30,0.5,met5,0.52,0.20,-0.01,-0.02,6,2,29.57,0.23,300424.0752,0.5284,0,1676337
1727641386,1727641780,1727641787,1727641870,1727641871,1727642184,1727642186,1727642361,1727642363,1727642607,1727642610,1727642720,1727642722,1727642899,grendel44.ece.ncsu.edu,3.28,30,0.5,met5,0.55,0.20,-0.00,-0.01,4,4,29.80,0.23,300858.8400,0.5291,0,1676461
1727642911,1727643307,1727643313,1727643380,1727643381,1727643691,1727643693,1727643853,1727643854,1727644084,1727644086,1727644196,1727644198,1727644386,grendel44.ece.ncsu.edu,3.62,30,0.5,met5,0.57,0.20,-0.00,-0.00,3,2,29.75,0.23,299775.1248,0.5272,0,1676622
1727644398,1727644791,1727644796,1727644866,1727644868,1727645180,1727645182,1727645349,1727645352,1727645582,1727645585,1727645698,1727645700,1727645867,grendel44.ece.ncsu.edu,3.56,30,0.5,met5,0.6,0.20,-0.00,-0.00,4,1,29.44,0.24,300364.9344,0.5283,0,1682775
1727645880,1727646264,1727646270,1727646351,1727646353,1727646653,1727646655,1727646819,1727646821,1727647056,1727647058,1727647177,1727647179,1727647349,grendel44.ece.ncsu.edu,3.35,30,0.5,met5,0.5,0.22,-0.01,-0.01,8,2,29.64,0.20,307837.4544,0.5414,0,1682021
1727647362,1727647752,1727647758,1727647831,1727647833,1727648128,1727648129,1727648292,1727648294,1727648525,1727648526,1727648634,1727648636,1727648812,grendel44.ece.ncsu.edu,3.34,30,0.5,met5,0.52,0.22,-0.00,-0.00,6,1,29.65,0.23,307377.1152,0.5406,0,1682892
1727648824,1727649210,1727649216,1727649287,1727649289,1727649590,1727649592,1727649751,1727649753,1727649979,1727649981,1727650096,1727650097,1727650287,grendel44.ece.ncsu.edu,3.40,30,0.5,met5,0.55,0.22,-0.00,-0.01,7,1,29.54,0.22,306708.9840,0.5394,2,1679657
1727650298,1727650680,1727650685,1727650755,1727650756,1727651060,1727651062,1727651219,1727651221,1727651455,1727651457,1727651569,1727651570,1727651764,grendel44.ece.ncsu.edu,3.01,30,0.5,met5,0.57,0.22,-0.00,-0.00,4,3,29.78,0.23,306267.8256,0.5386,1,1678962
