synth__sched__date__begin,synth__sched__date__end,init_design__sched__date__begin,init_design__sched__date__end,place_opt__sched__date__begin,place_opt__sched__date__end,clock_opt_cts__sched__date__begin,clock_opt_cts__sched__date__end,clock_opt_opto__sched__date__begin,clock_opt_opto__sched__date__end,route_auto__sched__date__begin,route_auto__sched__date__end,route_opt__sched__date__begin,route_opt__sched__date__end,route_opt__sched__host__id,route_opt__sched__loadavg__end,synth__timing__clk_per__set,init_design__area__util__set,init_design__area__max_layer__set,place_opt__timing__clk_trans__set,clk_opt_cts__timing__hold_uncert__set,route_opt__timing__whs__worst,route_opt__timing__tnhs__tot,route_opt__timing__nhve__tot,route_opt__timing__ntv__tot,route_opt__timing__critpath__max,route_opt__timing__clk_trans__max,route_opt__area__cell__tot,route_opt__area__util__avg,route_opt__drc__viol__tot,route_opt__area__wirelength__tot,route_opt__area__li1_wirelength__tot,route_opt__area__met1_wirelength__tot,route_opt__area__met2_wirelength__tot,route_opt__area__met3_wirelength__tot,route_opt__area__met4_wirelength__tot,route_opt__area__met5_wirelength__tot,route_opt__power__int__tot,route_opt__power__sw__tot,route_opt__power__leak__tot
1728106000,1728106203,1728106204,1728106257,1728106259,1728106409,1728106411,1728106524,1728106526,1728106653,1728106655,1728106734,1728106735,1728106828,grendel33.ece.ncsu.edu,4.48,5,0.5,met5,0.5,0.1,0.00,0.00,0,0,4.73,0.19,87491.6208,0.5045,0,298768,4602,91233,117965,59378,27146,56,1.65e+07,6.32e+06,6.45e+06
1728107401,1728107564,1728107566,1728107605,1728107606,1728107761,1728107762,1728107838,1728107839,1728107942,1728107943,1728108007,1728108009,1728108129,grendel42.ece.ncsu.edu,2.55,3.0,0.5,met5,0.3,0.1,0.01,0.00,0,1,2.20,0.14,90549.3600,0.5052,0,330608,5047,100055,120900,76138,30090,71,2.78e+07,1.10e+07,6.89e+06
1728108134,1728108309,1728108310,1728108352,1728108353,1728108498,1728108500,1728108578,1728108580,1728108692,1728108693,1728108754,1728108755,1728108866,grendel42.ece.ncsu.edu,3.00,3.0,0.5,met5,0.3,0.12,0.00,0.00,0,1,2.37,0.14,90624.4848,0.5056,0,330806,4879,100029,121818,75824,29476,456,2.78e+07,1.10e+07,6.88e+06
1728109457,1728109683,1728109685,1728109726,1728109727,1728110096,1728110097,1728110217,1728110219,1728110485,1728110486,1728110547,1728110549,1728110818,grendel42.ece.ncsu.edu,4.32,1.0,0.5,met5,0.3,0.1,0.00,0.00,0,0,1.98,0.12,119867.2128,0.5649,0,377806,4374,100519,149854,78578,44852,1537,9.00e+07,3.55e+07,9.14e+06
1728110822,1728111048,1728111050,1728111087,1728111089,1728111452,1728111454,1728111568,1728111569,1728111845,1728111846,1728111912,1728111913,1728112193,grendel42.ece.ncsu.edu,4.55,1.0,0.5,met5,0.3,0.12,0.00,0.00,0,0,1.88,0.12,120249.2304,0.5667,0,378571,4644,100925,150431,78577,44065,1834,9.03e+07,3.56e+07,9.20e+06
1728112198,1728112420,1728112421,1728112470,1728112471,1728112880,1728112881,1728113002,1728113003,1728113288,1728113289,1728113352,1728113354,1728113623,grendel42.ece.ncsu.edu,4.82,1.0,0.5,met5,0.3,0.15,-0.02,-0.08,9,0,1.79,0.12,120605.6736,0.5684,0,378976,4637,100482,150389,79292,44599,1499,9.22e+07,3.58e+07,9.22e+06
1728113628,1728113848,1728113850,1728113898,1728113899,1728114309,1728114310,1728114426,1728114428,1728114718,1728114719,1728114777,1728114778,1728115051,grendel42.ece.ncsu.edu,4.62,1.0,0.5,met5,0.3,0.17,-0.03,-0.35,27,1,1.82,0.11,120345.1344,0.5671,0,378768,4442,100686,149314,79636,45497,1052,9.12e+07,3.59e+07,9.24e+06
1728115057,1728115276,1728115278,1728115327,1728115327,1728115705,1728115707,1728115828,1728115829,1728116118,1728116119,1728116185,1728116186,1728116466,grendel42.ece.ncsu.edu,4.72,1.0,0.5,met5,0.3,0.2,-0.08,-6.49,426,0,1.82,0.11,126494.1792,0.5961,0,383834,3713,101407,150564,82075,46739,1268,9.31e+07,3.66e+07,9.94e+06
1728116470,1728116690,1728116692,1728116738,1728116740,1728117108,1728117109,1728117226,1728117228,1728117512,1728117514,1728117574,1728117575,1728117863,grendel42.ece.ncsu.edu,4.41,1.0,0.5,met5,0.3,0.22,-0.09,-14.69,813,0,1.72,0.12,121235.4432,0.5713,0,379960,4251,101530,148854,79218,46933,1085,9.04e+07,3.59e+07,9.37e+06
1728117867,1728118096,1728118097,1728118144,1728118145,1728118520,1728118521,1728118637,1728118638,1728118894,1728118896,1728118957,1728118958,1728119216,grendel42.ece.ncsu.edu,4.25,1.0,0.5,met5,0.3,0.25,-0.12,-47.22,1433,1,1.83,0.12,120843.8352,0.5695,0,378625,4602,101946,149690,77700,45096,1545,9.05e+07,3.54e+07,9.29e+06
